timestamp,open,high,low,close,volume,marketcap
2025-04-08 22:07:11.148000+00:00,76800,80802,76516,76800,48349394283,1527561874175
2025-04-08 22:09:42.335000+00:00,76750,80802,76516,76750,48369442357,1524212448762
2025-04-08 22:09:42.335000+00:00,76750,80802,76516,76750,48369442357,1524212448762
2025-04-08 22:09:42.335000+00:00,76750,80802,76516,76750,48369442357,1524212448762
2025-04-08 22:11:50.184000+00:00,76776,80802,76516,76776,47994070083,1523776201353
2025-04-08 22:12:48.799000+00:00,76790,80802,76516,76790,47992280457,1523776201353
2025-04-08 22:12:48.799000+00:00,76790,80802,76516,76790,47992280457,1523776201353
2025-04-08 22:13:52.491000+00:00,76739,80802,76516,76739,47881344444,1523776201353
2025-04-08 22:14:45.095000+00:00,76728,80802,76516,76728,47860050633,1523776201353
2025-04-08 22:14:45.095000+00:00,76728,80802,76516,76728,47860050633,1523776201353
2025-04-08 22:14:45.095000+00:00,76728,80802,76516,76728,47860050633,1523776201353
2025-04-08 22:15:42.403000+00:00,76741,80802,76516,76741,47848293074,1523113141971
2025-04-10 03:47:03.154000+00:00,81691,83425,75101,81691,82059357692,1623872297267
